"","revista","categoria","ano","ISSN"
"8466","SUPPLY CHAIN MANAGEMENT AN INTERNATIONAL JOURNAL","A1",2022,"1359-8546"
"8467","SUPPLY CHAIN MANAGEMENT AN INTERNATIONAL JOURNAL","A1",2022,"
1758-6852"
"8468","ASIA PACIFIC JOURNAL OF TEACHER EDUCATION","A1",2022,"1359-866X"
"8469","ASIA PACIFIC JOURNAL OF TEACHER EDUCATION","A1",2022,"
1469-2945"
"8470","JOURNAL OF HIGHER EDUCATION POLICY AND MANAGEMENT","A1",2022,"1360-080X"
"8471","JOURNAL OF HIGHER EDUCATION POLICY AND MANAGEMENT","A1",2022,"
1469-9508"
"8472","OXFORD DEVELOPMENT STUDIES","A1",2022,"1360-0818"
"8473","OXFORD DEVELOPMENT STUDIES","A1",2022,"
1469-9966"
"8474","INFORMATION AND COMMUNICATIONS TECHNOLOGY LAW","A1",2022,"1360-0834"
"8475","TRENDS IN PLANT SCIENCE","A1",2022,"1360-1385"
"8476","TRENDS IN PLANT SCIENCE","A1",2022,"
1878-4372"
"8477","INTERNATIONAL JOURNAL FOR ACADEMIC DEVELOPMENT","A1",2022,"1360-144X"
"8478","INTERNATIONAL JOURNAL FOR ACADEMIC DEVELOPMENT","A1",2022,"
1470-1324"
"8479","TROPICAL MEDICINE INTERNATIONAL HEALTH","A1",2022,"1360-2276"
"8480","TROPICAL MEDICINE INTERNATIONAL HEALTH","A1",2022,"
1365-3156"
"8481","JOURNAL OF APPLIED RESEARCH IN INTELLECTUAL DISABILITIES","A1",2022,"1360-2322"
"8482","JOURNAL OF APPLIED RESEARCH IN INTELLECTUAL DISABILITIES","A1",2022,"
1468-3148"
"8483","EDUCATION AND INFORMATION TECHNOLOGIES","A1",2022,"1360-2357"
"8484","EDUCATION AND INFORMATION TECHNOLOGIES","A1",2022,"
1573-7608"
"8485","JOURNAL OF ARCHITECTURE","A1",2022,"1360-2365"
"8486","JOURNAL OF ARCHITECTURE","A1",2022,"
1466-4410"
"8487","INTERNATIONAL JOURNAL OF INCLUSIVE EDUCATION","A1",2022,"1360-3116"
"8488","INTERNATIONAL JOURNAL OF INCLUSIVE EDUCATION","A1",2022,"
1464-5173"
"8489","INTERNATIONAL JOURNAL OF LEADERSHIP IN EDUCATION","A1",2022,"1360-3124"
"8490","INTERNATIONAL JOURNAL OF LEADERSHIP IN EDUCATION","A1",2022,"
1464-5092"
"8491","CITY","A1",2022,"1360-4813"
"8492","CITY","A1",2022,"
1470-3629"
"8493","JOURNAL OF SOCIOLINGUISTICS","A1",2022,"1360-6441"
"8494","JOURNAL OF SOCIOLINGUISTICS","A1",2022,"
1467-9841"
"8495","ENGLISH LANGUAGE LINGUISTICS","A1",2022,"1360-6743"
"8496","ENGLISH LANGUAGE LINGUISTICS","A1",2022,"
1469-4379"
"8497","ASIA PACIFIC VIEWPOINT","A1",2022,"1360-7456"
"8498","ASIA PACIFIC VIEWPOINT","A1",2022,"
1467-8373"
"8499","SOCIOLOGICAL RESEARCH ONLINE","A1",2022,"1360-7804"
"8500","AGING MENTAL HEALTH","A1",2022,"1360-7863"
"8501","AGING MENTAL HEALTH","A1",2022,"
1364-6915"
"8502","APOPTOSIS","A1",2022,"1360-8185"
"8503","APOPTOSIS","A1",2022,"
1573-675X"
"8504","JOURNAL OF BODYWORK AND MOVEMENT THERAPIES","A1",2022,"1360-8592"
"8505","JOURNAL OF BODYWORK AND MOVEMENT THERAPIES","A1",2022,"
1532-9283"
"8506","SOUTH EUROPEAN SOCIETY AND POLITICS","A1",2022,"1360-8746"
"8507","SOUTH EUROPEAN SOCIETY AND POLITICS","A1",2022,"
1743-9612"
"8508","MOLECULAR HUMAN REPRODUCTION","A1",2022,"1360-9947"
"8509","MOLECULAR HUMAN REPRODUCTION","A1",2022,"
1460-2407"
"8510","TRANSACTIONS IN GIS","A1",2022,"1361-1682"
"8511","TRANSACTIONS IN GIS","A1",2022,"
1467-9671"
"8512","JOURNAL OF FASHION MARKETING AND MANAGEMENT","A1",2022,"1361-2026"
"8513","JOURNAL OF FASHION MARKETING AND MANAGEMENT","A1",2022,"
1758-7433"
"8514","RACE ETHNICITY AND EDUCATION","A1",2022,"1361-3324"
"8515","RACE ETHNICITY AND EDUCATION","A1",2022,"
1470-109X"
"8516","NEW REVIEW OF ACADEMIC LIBRARIANSHIP","A1",2022,"1361-4533"
"8517","NEW REVIEW OF ACADEMIC LIBRARIANSHIP","A1",2022,"
1740-7834"
"8518","EUROPEAN REVIEW OF ECONOMIC HISTORY","A1",2022,"1361-4916"
"8519","EUROPEAN REVIEW OF ECONOMIC HISTORY","A1",2022,"
1474-0044"
"8520","COCHRANE DATABASE OF SYSTEMATIC REVIEWS","A1",2022,"1361-6137"
"8521","COCHRANE DATABASE OF SYSTEMATIC REVIEWS","A1",2022,"
1469-493X"
"8522","SIBIRICA","A1",2022,"1361-7362"
"8523","SIBIRICA","A1",2022,"
1476-6787"
"8524","JOURNAL OF BELIEFS VALUES STUDIES IN RELIGION EDUCATION","A1",2022,"1361-7672"
"8525","JOURNAL OF BELIEFS VALUES STUDIES IN RELIGION EDUCATION","A1",2022,"
1469-9362"
"8526","MEDICAL IMAGE ANALYSIS","A1",2022,"1361-8415"
"8527","MEDICAL IMAGE ANALYSIS","A1",2022,"
1361-8423"
"8528","TRANSPORTATION RESEARCH PART D TRANSPORT AND ENVIRONMENT","A1",2022,"1361-9209"
"8529","TRANSPORTATION RESEARCH PART D TRANSPORT AND ENVIRONMENT","A1",2022,"
1879-2340"
"8530","CONTEMPORARY BRITISH HISTORY","A1",2022,"1361-9462"
"8531","CONTEMPORARY BRITISH HISTORY","A1",2022,"
1743-7997"
"8532","EVIDENCE BASED MENTAL HEALTH","A1",2022,"1362-0347"
"8533","EVIDENCE BASED MENTAL HEALTH","A1",2022,"
1468-960X"
"8534","CAREER DEVELOPMENT INTERNATIONAL","A1",2022,"1362-0436"
"8535","CAREER DEVELOPMENT INTERNATIONAL","A1",2022,"
1758-6003"
"8536","NURSING IN CRITICAL CARE","A1",2022,"1362-1017"
"8537","NURSING IN CRITICAL CARE","A1",2022,"
1478-5153"
"8538","CITIZENSHIP STUDIES","A1",2022,"1362-1025"
"8539","CITIZENSHIP STUDIES","A1",2022,"
1469-3593"
"8540","LANGUAGE TEACHING RESEARCH","A1",2022,"1362-1688"
"8541","LANGUAGE TEACHING RESEARCH","A1",2022,"
1477-0954"
"8542","SCIENCE AND TECHNOLOGY OF WELDING AND JOINING","A1",2022,"1362-1718"
"8543","SCIENCE AND TECHNOLOGY OF WELDING AND JOINING","A1",2022,"
1743-2936"
"8544","SYSTEMATIC AND APPLIED ACAROLOGY","A1",2022,"1362-1971"
"8545","INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE","A1",2022,"1362-3087"
"8546","INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE","A1",2022,"
1365-8816"
"8547","INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE","A1",2022,""
"8548","AUTISM","A1",2022,"1362-3613"
"8549","AUTISM","A1",2022,"
1461-7005"
"8550","SPINAL CORD","A1",2022,"1362-4393"
"8551","SPINAL CORD","A1",2022,"
1476-5624"
"8552","THEORETICAL CRIMINOLOGY","A1",2022,"1362-4806"
"8553","THEORETICAL CRIMINOLOGY","A1",2022,"
1461-7439"
"8554","FASHION THEORY THE JOURNAL OF DRESS BODY CULTURE","A1",2022,"1362-704X"
"8555","FASHION THEORY THE JOURNAL OF DRESS BODY CULTURE","A1",2022,"
1751-7419"
"8556","GOTHIC STUDIES","A1",2022,"1362-7937"
"8557","GOTHIC STUDIES","A1",2022,"
2050-456X"
"8558","MEDITERRANEAN POLITICS","A1",2022,"1362-9395"
"8559","MEDITERRANEAN POLITICS","A1",2022,"
1743-9418"
"8560","CURRENT OPINION IN CLINICAL NUTRITION AND METABOLIC CARE","A1",2022,"1363-1950"
"8561","CURRENT OPINION IN CLINICAL NUTRITION AND METABOLIC CARE","A1",2022,"
1473-6519"
"8562","CURRENT OPINION IN CLINICAL NUTRITION AND METABOLIC CARE","A1",2022,""
"8563","SCHOOL LEADERSHIP AND MANAGEMENT","A1",2022,"1363-2434"
"8564","SCHOOL LEADERSHIP AND MANAGEMENT","A1",2022,"
1364-2626"
"8565","JOURNAL OF EARTHQUAKE ENGINEERING","A1",2022,"1363-2469"
"8566","JOURNAL OF EARTHQUAKE ENGINEERING","A1",2022,"
1559-808X"
"8567","JOURNAL OF COMMUNICATION MANAGEMENT","A1",2022,"1363-254X"
"8568","JOURNAL OF COMMUNICATION MANAGEMENT","A1",2022,"
1478-0852"
"8569","HISTORY WORKSHOP JOURNAL","A1",2022,"1363-3554"
"8570","HISTORY WORKSHOP JOURNAL","A1",2022,"
1477-4569"
"8571","SEXUALITIES","A1",2022,"1363-4607"
"8572","SEXUALITIES","A1",2022,"
1461-7382"
"8573","TRANSCULTURAL PSYCHIATRY","A1",2022,"1363-4615"
"8574","TRANSCULTURAL PSYCHIATRY","A1",2022,"
1461-7471"
"8575","WORLDVIEWS ENVIRONMENT CULTURE RELIGION","A1",2022,"1363-5247"
"8576","WORLDVIEWS ENVIRONMENT CULTURE RELIGION","A1",2022,"
1568-5357"
"8577","JOURNAL OF VOCATIONAL EDUCATION AND TRAINING","A1",2022,"1363-6820"
"8578","JOURNAL OF VOCATIONAL EDUCATION AND TRAINING","A1",2022,"
1747-5090"
"8579","DEVELOPMENTAL SCIENCE","A1",2022,"1363-755X"
"8580","DEVELOPMENTAL SCIENCE","A1",2022,"
1467-7687"
"8581","POLICING AN INTERNATIONAL JOURNAL OF POLICE STRATEGIES
MANAGEMENT","A1",2022,"1363-951X"
"8582","POLICING AN INTERNATIONAL JOURNAL OF POLICE STRATEGIES
MANAGEMENT","A1",2022,"
1758-695X"
"8583","RENEWABLE SUSTAINABLE ENERGY REVIEWS","A1",2022,"1364-0321"
"8584","RENEWABLE SUSTAINABLE ENERGY REVIEWS","A1",2022,"
1879-0690"
"8585","GEOMETRY TOPOLOGY","A1",2022,"1364-0380"
"8586","GEOMETRY TOPOLOGY","A1",2022,"
1465-3060"
"8587","RETHINKING HISTORY","A1",2022,"1364-2529"
"8588","RETHINKING HISTORY","A1",2022,"
1470-1154"
"8589","MOLECULAR PLANT PATHOLOGY","A1",2022,"1364-3703"
"8590","MOLECULAR PLANT PATHOLOGY","A1",2022,"
1464-6722"
"8591","INTERNATIONAL JOURNAL OF CHILDREN S SPIRITUALITY","A1",2022,"1364-436X"
"8592","INTERNATIONAL JOURNAL OF CHILDREN S SPIRITUALITY","A1",2022,"
1469-8455"
"8593","PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A MATHEMATICAL
PHYSICAL AND ENGINEERING SCIENCES","A1",2022,"1364-503X"
"8594","PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A MATHEMATICAL
PHYSICAL AND ENGINEERING SCIENCES","A1",2022,"
1471-2962"
"8595","INTERNATIONAL JOURNAL OF SOCIAL RESEARCH METHODOLOGY","A1",2022,"1364-5579"
"8596","INTERNATIONAL JOURNAL OF SOCIAL RESEARCH METHODOLOGY","A1",2022,"
1464-5300"
"8597","TRENDS IN COGNITIVE SCIENCES","A1",2022,"1364-6613"
"8598","TRENDS IN COGNITIVE SCIENCES","A1",2022,"
1879-307X"
"8599","INTERNATIONAL JOURNAL OF DAIRY TECHNOLOGY","A1",2022,"1364-727X"
"8600","INTERNATIONAL JOURNAL OF DAIRY TECHNOLOGY","A1",2022,"
1471-0307"
"8601","COMBUSTION THEORY AND MODELLING","A1",2022,"1364-7830"
"8602","COMBUSTION THEORY AND MODELLING","A1",2022,"
1741-3559"
"8603","ENVIRONMENTAL MODELLING SOFTWARE","A1",2022,"1364-8152"
"8604","ENVIRONMENTAL MODELLING SOFTWARE","A1",2022,"
1873-6726"
"8605","CRITICAL CARE","A1",2022,"1364-8535"
"8606","CRITICAL CARE","A1",2022,"
1466-609X"
"8607","AUSTRALIAN JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS","A1",2022,"1364-985X"
"8608","AUSTRALIAN JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS","A1",2022,"
1467-8489"
"8609","INTERNATIONAL JOURNAL OF ROCK MECHANICS AND MINING SCIENCES","A1",2022,"1365-1609"
"8610","INTERNATIONAL JOURNAL OF ROCK MECHANICS AND MINING SCIENCES","A1",2022,"
1873-4545"
"8611","HPB","A1",2022,"1365-182X"
"8612","HPB","A1",2022,"
1477-2574"
"8613","AQUACULTURE ECONOMICS AND MANAGEMENT","A1",2022,"1365-7305"
"8614","AQUACULTURE ECONOMICS AND MANAGEMENT","A1",2022,"
1365-7313"
"8615","AQUACULTURE ECONOMICS AND MANAGEMENT","A1",2022,""
"8616","PROSTATE CANCER AND PROSTATIC DISEASES","A1",2022,"1365-7852"
"8617","PROSTATE CANCER AND PROSTATIC DISEASES","A1",2022,"
1476-5608"
"8618","INDUSTRY AND INNOVATION","A1",2022,"1366-2716"
"8619","INDUSTRY AND INNOVATION","A1",2022,"
1469-8390"
"8620","HEALTH TECHNOLOGY ASSESSMENT","A1",2022,"1366-5278"
"8621","HEALTH TECHNOLOGY ASSESSMENT","A1",2022,"
2046-4924"
"8622","TRANSPORTATION RESEARCH PART E LOGISTICS AND TRANSPORTATION
REVIEW","A1",2022,"1366-5545"
"8623","TRANSPORTATION RESEARCH PART E LOGISTICS AND TRANSPORTATION
REVIEW","A1",2022,"
1878-5794"
"8624","JOURNAL OF INSECT CONSERVATION","A1",2022,"1366-638X"
"8625","JOURNAL OF INSECT CONSERVATION","A1",2022,"
1572-9753"
"8626","BILINGUALISM LANGUAGE AND COGNITION","A1",2022,"1366-7289"
"8627","BILINGUALISM LANGUAGE AND COGNITION","A1",2022,"
1469-1841"
"8628","JOURNAL OF INTELLECTUAL DEVELOPMENTAL DISABILITY","A1",2022,"1366-8250"
"8629","JOURNAL OF INTELLECTUAL DEVELOPMENTAL DISABILITY","A1",2022,"
1469-9532"
"8630","DIVERSITY AND DISTRIBUTIONS","A1",2022,"1366-9516"
"8631","DIVERSITY AND DISTRIBUTIONS","A1",2022,"
1472-4642"
"8632","JOURNAL OF RISK RESEARCH","A1",2022,"1366-9877"
"8633","JOURNAL OF RISK RESEARCH","A1",2022,"
1466-4461"
"8634","INTERNATIONAL JOURNAL OF BILINGUAL EDUCATION AND BILINGUALISM","A1",2022,"1367-0050"
"8635","INTERNATIONAL JOURNAL OF BILINGUAL EDUCATION AND BILINGUALISM","A1",2022,"
1747-7522"
"8636","INTERNATIONAL JOURNAL OF BILINGUALISM","A1",2022,"1367-0069"
"8637","INTERNATIONAL JOURNAL OF BILINGUALISM","A1",2022,"
1756-6878"
"8638","CONTACT LENS ANTERIOR EYE","A1",2022,"1367-0484"
"8639","CONTACT LENS ANTERIOR EYE","A1",2022,"
1476-5411"
"8640","LOGIC JOURNAL OF THE IGPL","A1",2022,"1367-0751"
"8641","LOGIC JOURNAL OF THE IGPL","A1",2022,"
1368-9894"
"8642","NEW JOURNAL OF PHYSICS","A1",2022,"1367-2630"
"8643","JOURNAL OF KNOWLEDGE MANAGEMENT","A1",2022,"1367-3270"
"8644","JOURNAL OF KNOWLEDGE MANAGEMENT","A1",2022,"
1758-7484"
"8645","JOURNAL OF CHILD HEALTH CARE","A1",2022,"1367-4935"
"8646","JOURNAL OF CHILD HEALTH CARE","A1",2022,"
1741-2889"
"8647","EUROPEAN JOURNAL OF CULTURAL STUDIES","A1",2022,"1367-5494"
"8648","EUROPEAN JOURNAL OF CULTURAL STUDIES","A1",2022,"
1460-3551"
"8649","INTERNATIONAL JOURNAL OF LOGISTICS RESEARCH AND APPLICATIONS","A1",2022,"1367-5567"
"8650","INTERNATIONAL JOURNAL OF LOGISTICS RESEARCH AND APPLICATIONS","A1",2022,"
1469-848X"
"8651","ANNUAL REVIEWS IN CONTROL","A1",2022,"1367-5788"
"8652","ANNUAL REVIEWS IN CONTROL","A1",2022,"
1872-9088"
"8653","CURRENT OPINION IN CHEMICAL BIOLOGY","A1",2022,"1367-5931"
"8654","CURRENT OPINION IN CHEMICAL BIOLOGY","A1",2022,"
1879-0402"
"8655","JOURNAL OF YOUTH STUDIES","A1",2022,"1367-6261"
"8656","JOURNAL OF YOUTH STUDIES","A1",2022,"
1469-9680"
"8657","INTERNATIONAL JOURNAL OF CULTURAL STUDIES","A1",2022,"1367-8779"
"8658","INTERNATIONAL JOURNAL OF CULTURAL STUDIES","A1",2022,"
1460-356X"
"8659","JOURNAL OF ASIAN EARTH SCIENCES","A1",2022,"1367-9120"
"8660","JOURNAL OF ASIAN EARTH SCIENCES","A1",2022,"
1878-5786"
"8661","ANIMAL CONSERVATION","A1",2022,"1367-9430"
"8662","ANIMAL CONSERVATION","A1",2022,"
1469-1795"
"8663","SYNTAX A JOURNAL OF THEORETICAL EXPERIMENTAL AND
INTERDISCIPLINARY RESEARCH","A1",2022,"1368-0005"
"8664","SYNTAX A JOURNAL OF THEORETICAL EXPERIMENTAL AND
INTERDISCIPLINARY RESEARCH","A1",2022,"
1467-9612"
"8665","INTERNATIONAL JOURNAL OF LANGUAGE COMMUNICATION DISORDERS","A1",2022,"1368-2822"
"8666","INTERNATIONAL JOURNAL OF LANGUAGE COMMUNICATION DISORDERS","A1",2022,"
1460-6984"
"8667","CURRENT ISSUES IN TOURISM","A1",2022,"1368-3500"
"8668","CURRENT ISSUES IN TOURISM","A1",2022,"
1747-7603"
"8669","ECONOMETRICS JOURNAL","A1",2022,"1368-4221"
"8670","ECONOMETRICS JOURNAL","A1",2022,"
1368-423X"
"8671","GROUP PROCESSES INTERGROUP RELATIONS","A1",2022,"1368-4302"
"8672","GROUP PROCESSES INTERGROUP RELATIONS","A1",2022,"
1461-7188"
"8673","EUROPEAN JOURNAL OF SOCIAL THEORY","A1",2022,"1368-4310"
"8674","EUROPEAN JOURNAL OF SOCIAL THEORY","A1",2022,"
1461-7137"
"8675","TEACHING THEOLOGY AND RELIGION","A1",2022,"1368-4868"
"8676","TEACHING THEOLOGY AND RELIGION","A1",2022,"
1467-9647"
"8677","SEXUALLY TRANSMITTED INFECTIONS","A1",2022,"1368-4973"
"8678","SEXUALLY TRANSMITTED INFECTIONS","A1",2022,"
1472-3263"
"8679","AGING MALE","A1",2022,"1368-5538"
"8680","AGING MALE","A1",2022,"
1473-0790"
"8681","DRUG RESISTANCE UPDATES","A1",2022,"1368-7646"
"8682","DRUG RESISTANCE UPDATES","A1",2022,"
1532-2084"
"8683","ORAL ONCOLOGY","A1",2022,"1368-8375"
"8684","ORAL ONCOLOGY","A1",2022,"
1879-0593"
"8685","POSTCOLONIAL STUDIES","A1",2022,"1368-8790"
"8686","POSTCOLONIAL STUDIES","A1",2022,"
1466-1888"
"8687","MEDIA HISTORY","A1",2022,"1368-8804"
"8688","MEDIA HISTORY","A1",2022,"
1469-9729"
"8689","PUBLIC HEALTH NUTRITION","A1",2022,"1368-9800"
"8690","PUBLIC HEALTH NUTRITION","A1",2022,"
1475-2727"
"8691","CULTURE HEALTH SEXUALITY","A1",2022,"1369-1058"
"8692","CULTURE HEALTH SEXUALITY","A1",2022,"
1464-5351"
"8693","VENTURE CAPITAL","A1",2022,"1369-1066"
"8694","VENTURE CAPITAL","A1",2022,"
1464-5343"
"8695","INFORMATION COMMUNICATION SOCIETY","A1",2022,"1369-118X"
"8696","INFORMATION COMMUNICATION SOCIETY","A1",2022,"
1468-4462"
"8697","EUROPEAN JOURNAL OF SOCIAL WORK","A1",2022,"1369-1457"
"8698","EUROPEAN JOURNAL OF SOCIAL WORK","A1",2022,"
1468-2664"
"8699","BRITISH JOURNAL OF POLITICS INTERNATIONAL RELATIONS","A1",2022,"1369-1481"
"8700","BRITISH JOURNAL OF POLITICS INTERNATIONAL RELATIONS","A1",2022,"
1467-856X"
"8701","JOURNAL OF ETHNIC AND MIGRATION STUDIES","A1",2022,"1369-183X"
"8702","JOURNAL OF ETHNIC AND MIGRATION STUDIES","A1",2022,"
1469-9451"
"8703","JOURNAL OF INTERNATIONAL ECONOMIC LAW","A1",2022,"1369-3034"
"8704","JOURNAL OF INTERNATIONAL ECONOMIC LAW","A1",2022,"
1464-3758"
"8705","MEDICAL MYCOLOGY","A1",2022,"1369-3786"
"8706","MEDICAL MYCOLOGY","A1",2022,"
1460-2709"
"8707","KANTIAN REVIEW","A1",2022,"1369-4154"
"8708","KANTIAN REVIEW","A1",2022,"
2044-2394"
"8709","BUSINESS AND POLITICS","A1",2022,"1369-5258"
"8710","BUSINESS AND POLITICS","A1",2022,"
1469-3569"
"8711","CURRENT OPINION IN PLANT BIOLOGY","A1",2022,"1369-5266"
"8712","CURRENT OPINION IN PLANT BIOLOGY","A1",2022,"
1879-0356"
"8713","CURRENT OPINION IN MICROBIOLOGY","A1",2022,"1369-5274"
"8714","CURRENT OPINION IN MICROBIOLOGY","A1",2022,"
1879-0364"
"8715","HEALTH EXPECTATIONS","A1",2022,"1369-6513"
"8716","HEALTH EXPECTATIONS","A1",2022,"
1369-7625"
"8717","JOURNAL OF AFRICAN CULTURAL STUDIES","A1",2022,"1369-6815"
"8718","JOURNAL OF AFRICAN CULTURAL STUDIES","A1",2022,"
1469-9346"
"8719","INTERNATIONAL JOURNAL OF SOCIAL WELFARE","A1",2022,"1369-6866"
"8720","INTERNATIONAL JOURNAL OF SOCIAL WELFARE","A1",2022,"
1468-2397"
"8721","MATERIALS TODAY","A1",2022,"1369-7021"
"8722","MATERIALS TODAY","A1",2022,"
1873-4103"
"8723","BIOCHEMICAL ENGINEERING JOURNAL","A1",2022,"1369-703X"
"8724","BIOCHEMICAL ENGINEERING JOURNAL","A1",2022,"
1873-295X"
"8725","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B STATISTICAL
METHODOLOGY","A1",2022,"1369-7412"
"8726","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B STATISTICAL
METHODOLOGY","A1",2022,"
1467-9868"
"8727","MATERIALS SCIENCE IN SEMICONDUCTOR PROCESSING","A1",2022,"1369-8001"
"8728","MATERIALS SCIENCE IN SEMICONDUCTOR PROCESSING","A1",2022,"
1873-4081"
"8729","INTERVENTIONS INTERNATIONAL JOURNAL OF POSTCOLONIAL STUDIES","A1",2022,"1369-801X"
"8730","INTERVENTIONS INTERNATIONAL JOURNAL OF POSTCOLONIAL STUDIES","A1",2022,"
1469-929X"
"8731","CRITICAL REVIEW OF INTERNATIONAL SOCIAL AND POLITICAL PHILOSOPHY","A1",2022,"1369-8230"
"8732","CRITICAL REVIEW OF INTERNATIONAL SOCIAL AND POLITICAL PHILOSOPHY","A1",2022,"
1743-8772"
"8733","CIVIL WARS","A1",2022,"1369-8249"
"8734","CIVIL WARS","A1",2022,"
1743-968X"
"8735","TRANSPORTATION RESEARCH PART F TRAFFIC PSYCHOLOGY AND BEHAVIOUR","A1",2022,"1369-8478"
"8736","TRANSPORTATION RESEARCH PART F TRAFFIC PSYCHOLOGY AND BEHAVIOUR","A1",2022,"
1873-5517"
"8737","STUDIES IN HISTORY AND PHILOSOPHY OF SCIENCE PART C STUDIES IN
HISTORY AND PHILOSOPHY OF BIOLOGICAL AND BIOMEDICAL SCIENCES","A1",2022,"1369-8486"
"8738","STUDIES IN HISTORY AND PHILOSOPHY OF SCIENCE PART C STUDIES IN
HISTORY AND PHILOSOPHY OF BIOLOGICAL AND BIOMEDICAL SCIENCES","A1",2022,"
1879-2499"
"8739","ARCHAEOLOGICAL DIALOGUES","A1",2022,"1380-2038"
"8740","ARCHAEOLOGICAL DIALOGUES","A1",2022,"
1478-2294"
"8741","CHRISTIAN BIOETHICS","A1",2022,"1380-3603"
"8742","CHRISTIAN BIOETHICS","A1",2022,"
1744-4195"
"8743","MOLECULAR BREEDING","A1",2022,"1380-3743"
"8744","MOLECULAR BREEDING","A1",2022,"
1572-9788"
"8745","REVIEW OF ACCOUNTING STUDIES","A1",2022,"1380-6653"
"8746","REVIEW OF ACCOUNTING STUDIES","A1",2022,"
1573-7136"
"8747","LIFETIME DATA ANALYSIS","A1",2022,"1380-7870"
"8748","LIFETIME DATA ANALYSIS","A1",2022,"
1572-9249"
"8749","MITIGATION AND ADAPTATION STRATEGIES FOR GLOBAL CHANGE","A1",2022,"1381-2386"
"8750","MITIGATION AND ADAPTATION STRATEGIES FOR GLOBAL CHANGE","A1",2022,"
1573-1596"
"8751","SOCIAL PSYCHOLOGY OF EDUCATION","A1",2022,"1381-2890"
"8752","SOCIAL PSYCHOLOGY OF EDUCATION","A1",2022,"
1573-1928"
"8753","ARCHIVES OF PHYSIOLOGY AND BIOCHEMISTRY","A1",2022,"1381-3455"
"8754","ARCHIVES OF PHYSIOLOGY AND BIOCHEMISTRY","A1",2022,"
1744-4160"
"8755","JOURNAL OF ECONOMIC GROWTH","A1",2022,"1381-4338"
"8756","JOURNAL OF ECONOMIC GROWTH","A1",2022,"
1573-7020"
"8757","EUROPEAN JOURNAL OF GENERAL PRACTICE","A1",2022,"1381-4788"
"8758","EUROPEAN JOURNAL OF GENERAL PRACTICE","A1",2022,"
1751-1402"
"8759","REACTIVE FUNCTIONAL POLYMERS","A1",2022,"1381-5148"
"8760","REACTIVE FUNCTIONAL POLYMERS","A1",2022,"
1873-166X"
"8761","HEART FAILURE REVIEWS","A1",2022,"1382-4147"
"8762","HEART FAILURE REVIEWS","A1",2022,"
1573-7322"
"8763","ADVANCES IN HEALTH SCIENCES EDUCATION","A1",2022,"1382-4996"
"8764","ADVANCES IN HEALTH SCIENCES EDUCATION","A1",2022,"
1573-1677"
"8765","EUROPEAN JOURNAL OF ENGLISH STUDIES","A1",2022,"1382-5577"
"8766","EUROPEAN JOURNAL OF ENGLISH STUDIES","A1",2022,"
1744-4233"
"8767","ENVIRONMENTAL TOXICOLOGY AND PHARMACOLOGY","A1",2022,"1382-6689"
"8768","ENVIRONMENTAL TOXICOLOGY AND PHARMACOLOGY","A1",2022,"
1872-7077"
"8769","CONTRIBUTIONS TO ZOOLOGY","A1",2022,"1383-4517"
"8770","CONTRIBUTIONS TO ZOOLOGY","A1",2022,"
1875-9866"
"8771","MUTATION RESEARCH REVIEWS IN MUTATION RESEARCH","A1",2022,"1383-5742"
"8772","MUTATION RESEARCH REVIEWS IN MUTATION RESEARCH","A1",2022,"
1388-2139"
"8773","SEPARATION AND PURIFICATION TECHNOLOGY","A1",2022,"1383-5866"
"8774","SEPARATION AND PURIFICATION TECHNOLOGY","A1",2022,"
1873-3794"
"8775","JOURNAL OF SYSTEMS ARCHITECTURE","A1",2022,"1383-7621"
"8776","JOURNAL OF SYSTEMS ARCHITECTURE","A1",2022,"
1873-6165"
"8777","MULTIBODY SYSTEM DYNAMICS","A1",2022,"1384-5640"
"8778","MULTIBODY SYSTEM DYNAMICS","A1",2022,"
1573-272X"
"8779","DATA MINING AND KNOWLEDGE DISCOVERY","A1",2022,"1384-5810"
"8780","DATA MINING AND KNOWLEDGE DISCOVERY","A1",2022,"
1573-756X"
"8781","INTERPRETING","A1",2022,"1384-6647"
"8782","INTERPRETING","A1",2022,"
1569-982X"
"8783","INTERNATIONAL JOURNAL OF CORPUS LINGUISTICS","A1",2022,"1384-6655"
"8784","INTERNATIONAL JOURNAL OF CORPUS LINGUISTICS","A1",2022,"
1569-9811"
"8785","NUTRIENT CYCLING IN AGROECOSYSTEMS","A1",2022,"1385-1314"
"8786","PRECISION AGRICULTURE","A1",2022,"1385-2256"
"8787","PRECISION AGRICULTURE","A1",2022,"
1573-1618"
"8788","JOURNAL OF ELECTROCERAMICS","A1",2022,"1385-3449"
"8789","JOURNAL OF ELECTROCERAMICS","A1",2022,"
1573-8663"
