grupo,categoria,Titulo,Fecha_inicio,Fecha_Fin,Descripcion
"EDUCACION, INFANCIA Y LENGUAS EXTRANJERAS",Estrategias Pedagógicas para el fomento a la CTI,"Semillero de Investigación: Estudios en: Educación, Cultura y Subjetividad",Febrero 2015,Noviembre 2015,"Promover en los participantes, habilidades investigativas  relacionadas con la educación y su contexto, retomando como enfoque principal la orientación  crítica. Lo anterior con el fin de construir y ejecutar  proyectos de investigación de carácter formativo, que sirvan como soporte a procesos de intervención en el campo de la educación."
"EDUCACION, INFANCIA Y LENGUAS EXTRANJERAS",Estrategias Pedagógicas para el fomento a la CTI,Semillero de socio-didáctica del inglés,Enero 2015,Diciembre,"Socio-didáctica del inglés: un semillero joven que nació en enero 2015. ,Socio-didáctica porque creemos que la perspectiva sociocultural es particularmente eficiente para abordar el aprendizaje y la enseñanza del inglés; también porque nos preocupamos por la dimensión social de éstos."
"EDUCACION, INFANCIA Y LENGUAS EXTRANJERAS",Estrategias Pedagógicas para el fomento a la CTI,Universidad de los Niños,Enero 2013,Noviembre 2017,"Universidad de los niños es una experiencia significativa que nace en la Fundación Universitaria Luis Amigó - FUNLAM en el año 2013 como posibilidad de generar espacios de interlocución, en respuesta al Plan de Desarrollo Institucional y al Dinamizador Estratégico de Extensión. El Proyecto es coordinado por la Licenciatura en Educación Preescolar, para desarrollar en los niños desde su primera infancia un gusto por el conocimiento en un marco universitario, donde a sus preguntas aparentemente simples de la vida y la ciencia, se les pueda brindar una experiencia de acercamiento al mundo. Con esta propuesta es posible concretar una esfera de participación real, donde los niños hacen uso del lenguaje, a través del cual conocen y cuestionan su entorno."
"EDUCACION, INFANCIA Y LENGUAS EXTRANJERAS",Estrategias Pedagógicas para el fomento a la CTI,Semillero en Evaluación y Adquisición de Lenguas Extranjeras,Febrero 2012,Noviembre 2013,"El semillero es un espacio de formación en investigación que busca propiciar en los estudiantes el desarrollo de competencias investigativas que conduzcan a la comprensión y a la resolución de problemas que atañen al quehacer del docente de inglés, particularmente en los ámbitos de la evaluación y de la adquisición de lenguas, a partir de la indagación rigurosa, la discusión colegiada, la reflexión crítica,  y la generación y difusión de nuevo conocimiento."
"EDUCACION, INFANCIA Y LENGUAS EXTRANJERAS",Estrategias Pedagógicas para el fomento a la CTI,"Semillero de investigación ""Historia, infancia y cultura""",Febrero 2010,Noviembre 2014,"El semillero ¿Historia, Infancia y cultura¿, es de interés para las estudiantes en formación en tanto se constituye como un espacio para la investigación formativa alrededor de la infancia, la familia y la pedagogía; con esta propuesta se pretende indagar sobre problemáticas que le conciernen a los maestros comprometidos con la primera infancia, y es a partir de la intervención con estos grupos poblacionales que se fortalecen los procesos investigativos y su articulación con la academia."
NEUROCIENCIAS BASICAS Y APLICADAS,Estrategias Pedagógicas para el fomento a la CTI,"Construcción Teórica en Procesos de Investigación, modalidad virtual",Febrero 2019,Diciembre 2019,"La actividad investigativa es la única forma que se tiene para llegar al conocimiento científico. No existe una única forma, existen diversas maneras, lo que habitualmente se denomina, metodología. Dependiendo del interés que se tenga con relación al objeto de estudio, existirá una única forma de acceder a ese conocimiento.,,Desde ahí asumimos que una de las posibilidades es a través del enfoque empírico-analítico comúnmente conocido como investigación cuantitativa. Este enfoque se preocupa por explicar, predecir y confirmar diversos fenómenos que puedan medirse y observarse. Desde acá se podrán resolver las explicaciones relacionadas con las relaciones o causalidades del comportamiento de un fenómeno o realidad objetiva. ,,La importancia de este curso radica en  que el estudiante logrará adquirir las competencias básicas para comprender las lógicas y dinámicas utilizadas para resolver problemas de investigación desde los métodos hipotéticos deductivos. Para ello, será necesario que reconozca la funcionalidad que tiene la teoría y la necesidad fundamental de elaborar un plan para la fase operativa, por tanto requiere especificar la metodología y las técnicas a través de las cuales recolectará y dará tratamiento a la información."
NEUROCIENCIAS BASICAS Y APLICADAS,Estrategias Pedagógicas para el fomento a la CTI,Seminario Ruta de Tesis Doctoral para el programa Doctorado en Estudios Interdisciplinarios en Psicología,Julio 2017,Diciembre 2017,"Desde la fundamentación teórica en investigación, clarificado y definido el problema de investigación, se prosigue a la fase del cómo resolver o dar respuesta al problema planteado, se inicia entonces la ejecución de la investigación y específicamente, se entra en las lógicas del trabajo de campo, las cuales están paradigmáticamente definidas, de acuerdo al enfoque metodológico pertinente a utilizar. ,,Con las estrategias metódicas y un plan operativo consecuente, se empiezan a realizar las descripciones observacionales (o registros) de la realidad o lo real, del objeto de estudio. Una vez que existen suficientes descripciones e información, se pasa a la fase creativa y netamente intelectual, la construcción de explicaciones, modelos teóricos o comprensiones que clarifiquen los hechos adscritos a esa realidad (o lo real) bajo estudio e indiquen las razones de su ocurrencia. Es en este punto donde silvestremente se pudiera hablar de triangulación, es decir, el investigador (1) a partir de sus resultados, (2) de lo hallado por otros y de lo (3) teóricamente concebido, organiza la triada y la alista para el establecimiento de conversaciones (versar), como la única opción de generar desde la rigurosidad requerida, el conocimiento científico, producto de la pulcritud metódica asumida.  Ello es lo que precisamente se espera durante la Ruta de Tesis Doctoral, que el candidato de acuerdo a sus ritmos de aprendizaje, vaya avanzando en la ejecución de la investigación hasta que el estado de la misma, le posibilite no solo divulgar el conocimiento científico adquirido, sino aplicar el mismo en un contexto específico y avizorar las posibilidades en la realización de una evaluación de impacto que le permita finalmente adquirir cierta verosimilitud y plausibilidad del conocimiento científico adquirido, y finalmente generar nuevos problemas y nuevas secuencias, en términos de iteración y recursividad (Padrón, 1998. Pág. 2). ,,En conclusión, es a través de la Ruta de Tesis doctoral, que el estudiante desarrolla las competencias científicas requeridas, que en síntesis en este programa de formación, se resumen en la capacidad de hacer lectura de los fenómenos de interés dentro de la Psicología y dar solución rigurosa a los mismos, divulgar los hallazgos a través de las diversas tipologías de productos científicos, aplicar el conocimiento adquirido a un contexto y avizorar las posibilidades desde la fundamentación teórica, en la realización de una evaluación de impacto. Así como la capacidad en advertir a partir de los hallazgos y la aplicación, la secuencialidad de la arista de interés de estudio."
NEUROCIENCIAS BASICAS Y APLICADAS,Estrategias Pedagógicas para el fomento a la CTI,Seminario proyecto Tesis Doctoral para el programa Doctorado en Estudios Interdisciplinarios en Psicología,Junio 2017,Diciembre 2017,"La formación doctoral implica el desarrollo de las competencias académicas, científicas y humanas que le posibilitan al investigador dar solución real y efectiva a las necesidades de la región y el país (Ardanuy, Urbano y Quintana, 2009; Hernández-Guzmán y Nieto, 2010; Rodríguez y Segura, 2010; Vera-Villarroel, 2010), lo que exige la generación de conocimiento innovador y original, así como la capacidad para identificar en el contexto, las verdaderas necesidades y demandas que requieren de manera apremiante su solución. Lo anterior significa, que además de que el doctor generará conocimiento nuevo y ajustado a las demandas y necesidades de la región y el país, tendrá la capacidad de aplicar los resultados de su investigación y las claridades suficientes para realizar evaluaciones de impacto que le faciliten vislumbrar el estudio de su objeto, de manera secuencial.,,Se requiere que las habilidades en la generación y aplicación del conocimiento científico, permeen al tejido productivo y a la sociedad en general, por lo que resulta fundamental, que, a partir del reconocimiento de las necesidades del contexto, plantee problemas de investigación cuya solución enriquezca el área de conocimiento de la Psicología y resulte viable su aplicación en un contexto determinado. Se requiere de doctores que adopten una perspectiva desafiante para la resolución de los complejos problemas de nuestra sociedad actual, lo cual se logra conjugando, por un lado, la interdisciplinaridad y, por otra parte, la efectividad en la aplicación de lo hallado a través de la investigación.,,De manera particular, el Proyecto de Tesis Doctoral, se entiende en dos sentidos. Por un lado, el estudiante iniciando el primer año de formación, deberá reestructurar, reformular, organizar, delimitar una especificidad del objeto de estudio de la psicología. Deberá concebir la estructuración y formalización de la idea de investigación como una fase primordial para avizorar la aplicabilidad del conocimiento científico en un contexto específico. Asimismo, tendrá que reconocer los baches teórico-investigativos del objeto de estudio de la psicología y plantearse las diversas formas de solución. Identificará las demandas sociales y estará convencido de la necesidad no solo de plantear sino también de aplicar estrategias de solución a los problemas, solo guiado desde los resultados de investigación.,,Cuando el estudiante haya logrado plantearse un problema en los términos anteriormente descritos, estará preparado para iniciar el proceso de su candidatura como doctor, lo que constituiría el segundo asunto primordial del Proyecto de Tesis Doctoral. Para ser candidato a doctor, requiere evidenciar varios asuntos. Crear y proponer las estrategias metódicas para resolver el problema de investigación planteado, analizar la viabilidad en la aplicación de técnicas, diseños o métodos de investigación para recolectar información, planear analíticamente el cómo resolver el específico problema de investigación, evaluar la viabilidad y factibilidad de diversas estrategias metodológicas para la solución del problema de investigación y finalmente tendrá la capacidad de analizar y proponer posibilidades para la aplicación del conocimiento científico en la resolución de la problemática. Cuando haya logrado esto, será candidato a Doctor."
NEUROCIENCIAS BASICAS Y APLICADAS,Estrategias Pedagógicas para el fomento a la CTI,Doctorado en Estudios Interdisciplinarios en Psicología,Enero 2017,Abril 2018,"El Doctorado en Estudios Interdisciplinarios en Psicología alude a una denominación, producto de las intencionalidades y la madurez del conocimiento de los grupos de investigación que lo soportan y a la necesidad de que en el país se produzca nuevo conocimiento, que responda a la complejidad de las problemáticas que a nivel del comportamiento humano se presentan. La psicología hoy es insuficiente para explicar y comprender los fenómenos del comportamiento humano ¿siempre variable y diverso¿ y debe recurrir a otras disciplinas en procura de ampliar los marcos de referencia de la realidad y dialogar con sus teorías, métodos o conceptos para pensar soluciones integrales.,,Por lo anterior, se afirma que el programa aúna las trayectorias que, desde los grupos de investigación de la Facultad de Psicología y Ciencias Sociales, con la colaboración de los grupos de las Facultades de Derecho y Ciencias Políticas y Educación y Humanidades, se han realizado en la producción y divulgación de nuevo conocimiento en los dominios de la neuropsicología, la psicología social y comunitaria, la psicología política, la psicología clínica y de la salud y la psicología de la familia, ámbitos que de por sí, apelan a la interrelación de la psicología con otras disciplinas. Con un claro sello dado por el carisma amigoniano, los grupos que soportan el Doctorado logran conjugar el sentido de comunidad académica y dar lugar a esta propuesta que reúne diversidad de visiones epistémicas y antropológicas, en correspondencia con una realidad contemporánea que requiere la aproximación no solo desde múltiples disciplinas, sino también el reconocimiento de que existen posibilidades diversas desde los enfoques metodológicos para plantearse y resolver problemas confluyendo para articular sus conocimientos en pos de su respuesta, mediada por el diálogo. Es así como se explica que pueda converger, la mirada centrada en el individuo y aquella que privilegia el individuo en relación con los otros, siempre respetando esas diferencias y dándole su debido lugar epistemológico. ,,Este es el primer doctorado que se ofrece en el país y a nivel internacional con dicha denominación, que hace hincapié en un propósito y en una convicción: el conocimiento científico sobre el comportamiento humano ha llevado a que los científicos sociales, de la salud y de las humanidades trabajen juntos para resolver problemas complejos que deben ser abordados con un conocimiento profundo desde diversas perspectivas, de manera que no se tiene mirada unívoca hacia el comportamiento humano, sino multifactorial, donde tienen cabida explicaciones e interpretaciones del psiquismo tradicionales y emergentes, que confluyen en su interés por trascender la academia e impactar en la sociedad frente a las necesidades percibidas y sentidas de bienestar psicológico y social, cuestión que solo se logra a través de la interdisciplinariedad.,,Es esa lectura que se hace de las necesidades psicológicas del conjunto de la sociedad colombiana y antioqueña lo que posibilita ofertar un programa que apunte a una formación integral e íntegra, que destine el conocimiento no solo a la academia, donde tradicionalmente se desempeña un doctor, sino que tenga eco en las familias, las comunidades, las organizaciones gubernamentales y no gubernamentales, las políticas públicas, los centros educativos y de salud, y la sociedad en general. De ahí que se piense en cuatro líneas de investigación que permiten dar cuenta de la madurez de los grupos y sus ejes de trabajo: (1) Estudios sociales, (2) Neuropsicología, (3) Teorías de Familia e Intervención Familiar, (4) Consumo y adicciones. La investigación será el eje central para la formación del doctor, que luego de un proceso riguroso podrá hacer uso de su conocimiento en contextos diversos."
NEUROCIENCIAS BASICAS Y APLICADAS,Estrategias Pedagógicas para el fomento a la CTI,Neuro y Educación,Agosto 2015,Diciembre 2020,"En un nivel 1, se pretende generar un espacio de aprendizaje en investigación empírico analítica que facilite el desarrollo de competencias para la vinculación a proyectos de investigación, tecnología e innovación en el área de las Neurociencias. Y los estudiantes de un nivel 2, terminan convirtiéndose en auxiliares de investigación, a quienes se articula a uno de los proyectos de investigación pertenecientes a la línea de investigación del semillero. ,,Nos formamos profesionalmente pensando que el conocimiento adquirido tendrá que contribuir a la solución de diferentes necesidades sociales, de hecho, no llegar a esta conclusión, ameritará repensar nuestra posición frente a la sociedad y al fin último de la educación, que precisamente busca la transformación de vidas, lo que indudablemente facilitará el desarrollo y crecimiento de las regiones y del país. Cuando en las Instituciones de Educación Superior se crean espacios para los estudiantes en donde el propósito fundamental es el desarrollo de competencias investigativas, se busca que ellos adquieran herramientas que desde la rigurosidad metódica impliquen la lectura del fenómeno objeto de interés desde su disciplina de formación y en correspondencia con esa lectura, precisen las herramientas a implementar para contribuir a la solución de necesidades sociales sentidas. No tendría objeto formarnos profesionalmente, si ese conocimiento no se pone al servicio de la sociedad. Lo anterior, es precisamente lo que pretendemos en el semillero de investigación, Neuro y Educación. Creemos y queremos acompañar la formación en competencias investigativas de quienes sienten de manera particular un interés en indagar los diferentes fenómenos de estudio, en quienes son unos curiosos del conocimiento y no les vasta interpretar lo que ya otros han dicho del fenómeno, sino que requieren a partir de un razonamiento deductivo analizar el fenómeno y proponer de manera socialmente responsable, posibles soluciones. El equipo está conformado por todos aquellos que están que son unos apasionados por el conocimiento de lo que implica el contexto escolar para el desarrollo humano integral y reconocen que disciplinas como la Neuropsicología, la Pedagogía y la Psicología tienen posibilidades  interdisciplinarias que faciliten entender lo que sucede en la población infanto-juvenil."
NEUROCIENCIAS BASICAS Y APLICADAS,Estrategias Pedagógicas para el fomento a la CTI,Cursos del área de formación en investigación AFI,Enero 2015,Diciembre 2020,"Esta estrategia pedagógica organiza cursos de fundamentación teórica en investigación, como cursos electivos de investigación a los estudiantes de pregrado y posgrado. El desarrollo de los cursos depende de las intencionalidades y las competencias a desarrollar en cada uno de ellos. ,,El colectivo le organiza al estudiante de manera secuencial su proceso para adquirir, construir e ir consolidando el conocimiento específico en investigación de acuerdo a las intencionalidades de los diferentes cursos, es así, que a través del proyecto docente unificado, operacionaliza las intencionalidades del curso y le establece a los estudiantes de manera puntual las actividades tanto de aprendizaje independiente como de clase presencial que requiere realizar para el logro de los objetivos del curso. Puntualmente los cursos tienen como propósito fundamental que el estudiante adquiera la fundamentación teórica en investigación (desarrollo de competencias interpretativas), independiente de la disciplina de formación. Desde allí, se organiza el desarrollo de las clases presenciales con una metodología magistral, pues hay un convencimiento de que las competencias interpretativas se logran a partir de la bibliografía revisada por los estudiantes y las explicaciones teóricas que el docente proporciona, pues desde ahí, desarrollan los mapas mentales que les facilitarán y propiciarán durante su formación profesional, adquirir competencias complejas como las argumentativas y propositivas.  Al constituir cursos comunes, por grupo hay un máximo de 90 estudiantes de todos los programas académicos, es por ello, que un curso es acompañado por tres docentes (pertenecientes en su mayoría a grupos de investigación de la institución) y cada uno con formación disciplinar diferente y experticia en alguno de los enfoques metodológicos. El desarrollo de las unidades de aprendizaje de los cursos, la evaluación y análisis de promoción, es una responsabilidad de los tres docentes. Para las clases presenciales, los docentes se van rotando para liderar el desarrollo temático, teniendo la responsabilidad los otros docentes de aportar, enriquecer, clarificar y ejemplificar desde su área de formación y experticia investigativa. Las evidencias evaluativas son estandarizadas y coherentes con las pretensiones en formación teórica en investigación de los cursos. Lo esencial se valora a través de tres evidencias, lo complementario a través de una, igual que el enriquece con sus aportes el proceso de aprendizaje. El componente de interés y motivación (Artículo 83) se valora teniendo en cuenta la entrega oportuna de todas las evidencias evaluativas del curso, pues en su defecto, el estudiante reprueba el curso. La certificación final del curso se le entrega de manera individual y escrita a cada estudiante, a través del formato destinado para ello."
GESNE,Estrategias Pedagógicas para el fomento a la CTI,2020,Febrero 2020,Noviembre 2020,"Acompañar y guiar a los estudiantes en el proceso de formación (proyectos y,actividades investigativas) y ser la delegada del semillero ante los órganos o,asuntos que lo requieran.,2) Facilitar la conformación del semillero y su sostenibilidad a partir de los,productos de investigación.,3) Velar por el cumplimiento de las acciones propias del semillero y definir un,plan de desarrollo del semillero, a mediano y largo plazo.,4) Asegurar la idoneidad de los participantes en el semillero.,5) Fortalecer las competencias investigativas en los estudiantes y/o graduados,interesados, a partir del análisis de estrategias metodológicas y académicas,propias del saber específico"
GESNE,Estrategias Pedagógicas para el fomento a la CTI,HABILIDADES BLANDAS PARA EL GERENTE DE HOY,Agosto 2019,Agosto 2019,"En dicha estrategia participaron estudiantes y docentes de todos los programas adscritos a la Facultad de Ciencias Administrativas, Económicas y Contables de la UCLA"
GESNE,Estrategias Pedagógicas para el fomento a la CTI,Conversatorios con docentes y empresarios del sector de la ecosol en Costarica,Mayo 2019,Mayo 2019,"Socialización de avances de la investigación sobre Empresas de Economía solidaria y ODS en región del oriente antioqueño.En la jornada se contó con la asistencia de docentes del Tecnológico de Costa Rica,la Universidad Nacional de Costa Rica y empresarios del sector cooperativo de este país"
GESNE,Estrategias Pedagógicas para el fomento a la CTI,V MODELO DE LA ASAMBLEA GENERAL DE LA ORGANIZACIÓN DE LOS ESTADOS AMERICANOS ¿ OEA,Enero 2019,Marzo 2019,"El modelo, es una simulación o representación de la estructura que utiliza la OEA, por medio de cuatro pilares: democracia, derechos humanos, seguridad y desarrollo, sustentados entre sí por medio del diálogo político, la inclusión, la cooperación y los instrumentos jurídicos que proporcionen las herramientas necesarias para llevar a cabo la gestión, en esta ocasión, el objetivo es educar a los participantes sobre temas de actualidad y política internacional; los estudiantes asumen el rol de delegados de los diferentes países asociados y observadores e intervienen en debates y negociaciones, en los que tratan temas que corresponden a los programas de trabajo de los diferentes órganos y comisiones de las Naciones Unidas"
GESNE,Estrategias Pedagógicas para el fomento a la CTI,Conversatorio Políticas públicas de economía solidaria en el marco de la pasantía al territorio solidario de Santander,Noviembre 2018,Noviembre 2018,presentación de las politicas públicas de Medellín  según acuerdo 41 de 2011
GESNE,Estrategias Pedagógicas para el fomento a la CTI,Gerencia estratégica: Una Herramienta para la Competitividad Organizacional para estudiantes universitarios,Noviembre 2018,Noviembre 2018,"La finalidad es transferir conocimientos asertivos y eficientes para estudiantes, empresarios y comunidad en general debido que actualmente, el mundo está siendo influenciado por diversos factores entre los cuales predominan, el social, económico, político, tecnológico y ambiental, razones por las cuales, se han generado constantemente, ambientes económicos inestables y cambiantes, trayendo consigo, incertidumbre en las personas, en las sociedades y en el entorno general. En medio de estos escenarios complejos, además de mantener la más estricta vigilancia sobre el acontecer económico, político y social, las organizaciones requieren sumar esfuerzos para que la toma de decisiones estratégicas esté enfocada en la optimización de los recursos y la mejora continua de sus de sus servicios."
GESNE,Estrategias Pedagógicas para el fomento a la CTI,La Ética de la Felicidad Organizacional como Innovación Empresarial para estudiantes universitarios Universidad de Guanajuato,Noviembre 2018,Noviembre 2018,"La finalidad es transferir conocimientos asertivos y eficientes para estudiantes, empresarios y comunidad en general debido que actualmente, el mundo está siendo influenciado por diversos factores entre los cuales predominan, el social, económico, político, tecnológico y ambiental, razones por las cuales, se han generado constantemente, ambientes económicos inestables y cambiantes, trayendo consigo, incertidumbre en las personas, en las sociedades y en el entorno general. En medio de estos escenarios complejos, además de mantener la más estricta vigilancia sobre el acontecer económico, político y social, las organizaciones requieren sumar esfuerzos para que la toma de decisiones estratégicas esté enfocada en la optimización de los recursos y la mejora continua de sus de sus servicios."
GESNE,Estrategias Pedagógicas para el fomento a la CTI,Emprendimiento y liderazgo Resiliente: Hacia la Clave del Éxito para estudiantes universitarios,Noviembre 2018,Noviembre 2018,"La finalidad es transferir conocimientos asertivos y eficientes para estudiantes, empresarios y comunidad en general debido que actualmente, el mundo está siendo influenciado por diversos factores entre los cuales predominan, el social, económico, político, tecnológico y ambiental, razones por las cuales, se han generado constantemente, ambientes económicos inestables y cambiantes, trayendo consigo, incertidumbre en las personas, en las sociedades y en el entorno general. En medio de estos escenarios complejos, además de mantener la más estricta vigilancia sobre el acontecer económico, político y social, las organizaciones requieren sumar esfuerzos para que la toma de decisiones estratégicas esté enfocada en la optimización de los recursos y la mejora continua de sus de sus servicios."
GESNE,Estrategias Pedagógicas para el fomento a la CTI,Emprendimiento Sostenible e Innovación,Noviembre 2018,Noviembre 2018,"LLa finalidad es transferir conocimientos asertivos y eficientes para estudiantes, empresarios y comunidad en general debido que actualmente, el mundo está siendo influenciado por diversos factores entre los cuales predominan, el social, económico, político, tecnológico y ambiental, razones por las cuales, se han generado constantemente, ambientes económicos inestables y cambiantes, trayendo consigo, incertidumbre en las personas, en las sociedades y en el entorno general. En medio de estos escenarios complejos, además de mantener la más estricta vigilancia sobre el acontecer económico, político y social, las organizaciones requieren sumar esfuerzos para que la toma de decisiones estratégicas esté enfocada en la optimización de los recursos y la mejora continua de sus de sus servicios."
GESNE,Estrategias Pedagógicas para el fomento a la CTI,II Simulación Asamblea General de la ONU,Agosto 2018,Noviembre 2018,"El Modelo de las Naciones Unidas, es una simulación o representación del Sistema de las Naciones, cuyo objetivo es educar a los participantes sobre temas de actualidad y política internacional; los estudiantes asumen el rol de delegados de los diferentes países e intervienen en debates y negociaciones, en los que tratan temas que corresponden a los programas de trabajo de los diferentes órganos y comisiones de las Naciones Unidas"
GESNE,Estrategias Pedagógicas para el fomento a la CTI,Coordinación Semillero de Investigación Negocios Internacionales 2018,Febrero 2018,Diciembre 2018,"Participa en calidad de coordinadora del semillero de investigación ""Negocios Internacionales"" con una dedicación de 2 horas semanales."
GESNE,Estrategias Pedagógicas para el fomento a la CTI,Semillero de investigación en Mercadeo,Febrero 2018,Noviembre 2018,"Propuesta pedagógica que busca generar el fomento de la ciencia la tecnología y la innovación en el campo del mercadeo dirigida a los estudiantes de la universidad católica luis amigo, y al publico interesado."
GESNE,Estrategias Pedagógicas para el fomento a la CTI,Coordinación Semillero de Negocios Internacionales 2019,Febrero 2018,Noviembre 2019,"Objetivos del Semillero de Negocios Internacionales: ,Acompañar y guiar a los estudiantes en el proceso de formación (proyectos y,actividades investigativas) y ser la delegada del semillero ante los órganos o,asuntos que lo requieran.,2) Facilitar la conformación del semillero y su sostenibilidad a partir de los,productos de investigación.,3) Velar por el cumplimiento de las acciones propias del semillero y definir un,plan de desarrollo del semillero, a mediano y largo plazo.,4) Asegurar la idoneidad de los participantes en el semillero.,5) Fortalecer las competencias investigativas en los estudiantes y/o graduados,interesados, a partir del análisis de estrategias metodológicas y académicas,propias del saber específico"
GESNE,Estrategias Pedagógicas para el fomento a la CTI,Diseño del programa de Maestría Educacion en Patrimonio Cultural,Enero 2018,Agosto 2018,Diseñar un programa de formación de maestría para fomentar la educación la cultura e identificación y valoración  con el patrimonio cultural de los pueblos
GESNE,Estrategias Pedagógicas para el fomento a la CTI,I Simulación Asamblea General de la ONU,Enero 2018,Marzo 2018,"El Modelo de las Naciones Unidas, es una simulación o representación del Sistema de las Naciones, cuyo objetivo es educar a los participantes sobre temas de actualidad y política internacional; los estudiantes asumen el rol de delegados de los diferentes países e intervienen en debates y negociaciones, en los que tratan temas que corresponden a los programas de trabajo de los diferentes órganos y comisiones de las Naciones Unidas"
GESNE,Estrategias Pedagógicas para el fomento a la CTI,Apoyo a la Gestión y documentación de las juntas de acción comunal del Municipio de Copacabana,Agosto 2017,Enero 2018,En el desarrollo de este proyecto se asesoro al estudiante Johan Sebastian Idarraga en el proceso de acompañamiento de la labor de la secretaria de desarrollo y bienestar social del Municipio de copacabana en el programa de apoyo inspección y vigilancia a las Juntas de acción comunal de ese Municipio.en este proyecto de manera pedagógica se formaban a los lideres de las organizaciones comunales para desarrollar la gestión administrativa propia en cada junta con la finalidad de hacer transferencia tecnológica y mejorar los procesos de administracion.
GESNE,Estrategias Pedagógicas para el fomento a la CTI,Proyecto administracion en mi barrio,Enero 2017,Mayo 2017,"Este proyecto permite generar estrategias pedagógicas para generar conocimiento en comunidades de población vulnerable en la ciudad de Medellín, haciendo transferencias de conocimiento sobre temas específicos y temáticas propias de la administración."
GORAS,Estrategias Pedagógicas para el fomento a la CTI,Modelo de incubación de emprendimientos sociales y productivos para estudiantes universitarios,Octubre 2018,Octubre 2018,"La finalidad es transferir conocimientos asertivos y eficientes para estudiantes, empresarios y comunidad en general debido que actualmente, el mundo está siendo influenciado por diversos factores entre los cuales predominan, el social, económico, político, tecnológico y ambiental, razones por las cuales, se han generado constantemente, ambientes económicos inestables y cambiantes, trayendo consigo, incertidumbre en las personas, en las sociedades y en el entorno general. En medio de estos escenarios complejos, además de mantener la más estricta vigilancia sobre el acontecer económico, político y social, las organizaciones requieren sumar esfuerzos para que la toma de decisiones estratégicas esté enfocada en la optimización de los recursos y la mejora continua de sus de sus servicios."
GORAS,Estrategias Pedagógicas para el fomento a la CTI,Semillero de Investigación en Innovación Gastronómica y de Alimentos (SIIGA),Agosto 2018,Noviembre 2019,
GORAS,Estrategias Pedagógicas para el fomento a la CTI,Semillero de Investigación en Educación Nutricional y Cultura Alimentaria (SIENCA),Agosto 2018,Noviembre 2019,"El Semillero de Investigación en Educación Nutricional y Cultura Alimentaria (SIENCA), propende por el desarrollo de competencias relacionadas con la proposición, evaluación, validación y transferencia de alternativas novedosas en cuanto la realidad alimentaria y gastronómica, que sean correspondientes con las problemáticas actuales en las comunidades. Cuyo objetivo es promover la generación de competencias investigativas en los participantes del mismo, mediante ejercicios teóricos y de aplicación del conocimiento que surja de él, desde áreas como la antropología alimentaria, la nutrición, la historia, la culinaria y el arte, para fomentar el trabajo en equipo, la reflexión, el aprendizaje permanente."
GORAS,Estrategias Pedagógicas para el fomento a la CTI,Procesos de revisión de literatura a través de internet para estudiantes,Abril 2018,Abril 2018,"Tiene como objetivo proponer el modelo de emprendimiento sostenible para la creación de PYMES por estudiantes universitarios en Latinoamerica. Caso: Universidad Católica Luis Amigó, la principal característica es la innovación económica y social como pilar fundamental para su desarrollo, es visto como una alternativa para lograr cambiar las condiciones de vida de las personas aportando significativamente beneficios colectivos, incorporando la articulación entre el Estado, instituciones educativas y empresas públicas y privadas como mecanismo estimulante, de tal modo lograr transformar la sociedad."
GORAS,Estrategias Pedagógicas para el fomento a la CTI,Estadística Aplicada a la investigación científica,Abril 2018,Abril 2018,"Tiene como objetivo proponer el modelo de emprendimiento sostenible para la creación de PYMES por estudiantes universitarios en Latinoamerica. Caso: Universidad Católica Luis Amigó, la principal característica es la innovación económica y social como pilar fundamental para su desarrollo, es visto como una alternativa para lograr cambiar las condiciones de vida de las personas aportando significativamente beneficios colectivos, incorporando la articulación entre el Estado, instituciones educativas y empresas públicas y privadas como mecanismo estimulante, de tal modo lograr transformar la sociedad."
GORAS,Estrategias Pedagógicas para el fomento a la CTI,Mercadotecnia aplicada  a la Investigación,Abril 2018,Abril 2018,"tiene como objetivo proponer el modelo de emprendimiento sostenible para la creación de PYMES por estudiantes universitarios en Latinoamerica. Caso: Universidad Católica Luis Amigó, la principal característica es la innovación económica y social como pilar fundamental para su desarrollo, es visto como una alternativa para lograr cambiar las condiciones de vida de las personas aportando significativamente beneficios colectivos, incorporando la articulación entre el Estado, instituciones educativas y empresas públicas y privadas como mecanismo estimulante, de tal modo lograr transformar la sociedad."
GORAS,Estrategias Pedagógicas para el fomento a la CTI,Emprendimiento y creación de empresas por estudiantes universitarios,Marzo 2018,Marzo 2018,"tiene como objetivo proponer el modelo de emprendimiento sostenible para la creación de PYMES por estudiantes universitarios en Latinoamerica. Caso: Universidad Católica Luis Amigó, la principal característica es la innovación económica y social como pilar fundamental para su desarrollo, es visto como una alternativa para lograr cambiar las condiciones de vida de las personas aportando significativamente beneficios colectivos, incorporando la articulación entre el Estado, instituciones educativas y empresas públicas y privadas como mecanismo estimulante, de tal modo lograr transformar la sociedad."
