grupo,categoria,tipo_producto,titulo_capitulo,pais,ano,titulo_libro,ISBN,vol,pags,editorial,autores
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Capítulos de libro publicados,Otro capítulo de libro publicado,Drogas de síntesis y éxtasis,Colombia,2013,Tratamiento Y Prevencion,978-958-8843-01-8, ,485 - 491,Fondo Editorial Cib Medellin,SANDRA MILENA RESTREPO ESCOBAR
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Capítulos de libro publicados,Otro capítulo de libro publicado,Seducción desde la publicidad al consumo de bebidas alcohólicas,Colombia,2009,Proceedings Encuentro Nacional De Investigación En Posgrados (Enip 2009).,978-958-719-374-9, ,105 - 109,Ediciones De La Universidad Nacional De Colombia,GUSTAVO ADOLFO CALDERON VALLEJO
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Capítulos de libro publicados,Otro capítulo de libro publicado,Nuevas Tendencias en Prevención de las drogodependencias,Colombia,2008,Psicoactivos: Cuestión De Todos,978-958-719-138-7, ,105 - 117,Universidad Nacionalde Colombia,GUILLERMO ALONSO CASTANO PEREZ
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Capítulos de libro publicados,Otro capítulo de libro publicado,construcción de currículo en la formación de formadores en promoción de calidad de vida y problemáticas sociales,Colombia,2008,Kit Educativo: Universidades Preventivas,978-958-8399-01-0, ,1 - 40,Funlam,MARIA CAROLINA MONTOYA MONTOYA
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Capítulos de libro publicados,Otro capítulo de libro publicado,Aproximación conceptual en la calidad de vida,Colombia,2008,Kit Educativo: Universidades Preventivas,978-958-8399-01-0, ,1 - 48,Funlam,MARIA CAROLINA MONTOYA MONTOYA
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Capítulos de libro publicados,Otro capítulo de libro publicado,Construcción de currículo en la formación de formadores en la promoción de la calidad de vida,Colombia,2008,Kit Educativo: Universidades Preventivas,978-958-8399-01-0, ,1 - 66,Funlam,MARIA CAROLINA MONTOYA MONTOYA
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Capítulos de libro publicados,Otro capítulo de libro publicado,Escrito educativo,Colombia,2008,Kit Educativo: Universidades Preventivas,978-958-8399-01-0, ,1 -  45,Funlam,MARIA CAROLINA MONTOYA MONTOYA
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Capítulos de libro publicados,Otro capítulo de libro publicado,Modulo educativo. La investigación social,Colombia,2008,Kit Educativo: Universidades Preventivas,978-958-8399-01-0, ,27 - 55,Funlam,GUSTAVO ADOLFO CALDERON VALLEJO
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Capítulos de libro publicados,Otro capítulo de libro publicado,Consumo de Drogas en Universitarios Estrategias de Actuacion,Colombia,2008,Kit Educativo: Universidades Preventivas,978-958-8399-01-0, ,38 - 55,Funlam,GUILLERMO ALONSO CASTANO PEREZ
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Capítulos de libro publicados,Otro capítulo de libro publicado,Concepto de problema social,Colombia,2008,Kit Educativo: Universidades Preventivas,978-958-8399-01-0, ,1 - 126,Funlam,GUSTAVO ADOLFO CALDERON VALLEJO
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Capítulos de libro publicados,Otro capítulo de libro publicado,Opioides,Uruguay,2007,Programa Nacional de Atención a usuarios problemático de drogas. Ministerio de Salud Pública. Junta Nacional de Drogas,0, 200,92 - 114,Montevideo - Uruguay - Ministerio de Salud Pública. Junta Nacional de Drogas,GUILLERMO ALONSO CASTANO PEREZ
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Capítulos de libro publicados,Otro capítulo de libro publicado,PROGRAMAS DE PREVENCION E INTERVENCIONES CULTURALMENTE APROPIADAS,Colombia,2005,Serie Formandonos En Prevención Integral.Prevención Y Desarrollo Humano ,958-97524-9-7, ,109 - 119,Fundación Universitaria Luis Amigó,GUILLERMO ALONSO CASTANO PEREZ
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Capítulos de libro publicados,Otro capítulo de libro publicado,Elementos teoricos y practicos de la prevencion integral propositiva,Colombia,2005,Serie Formandonos En Prevención Integral.Prevención Y Desarrollo Humano ,958-97524-9-7, ,75 - 94,Fundación Universitaria Luis Amigó,ANGELA MARIA PARRA BASTIDAS
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Capítulos de libro publicados,Otro capítulo de libro publicado,Conceptualización del desarrollo humano para la acción de prevención integral,Colombia,2005,Serie Formandonos En Prevención Integral.Prevención Y Desarrollo Humano ,958-97524-9-7, ,59 - 74,Fundación Universitaria Luis Amigó,GUSTAVO ADOLFO CALDERON VALLEJO
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Capítulos de libro publicados,Otro capítulo de libro publicado,PROYECTO FORMACION DE FORMADORES EN PREVENCION INTEGRAL: ESTRATEGIA DE DESARROLLO HUMANO Y COMUNITARIO. BREVE SINTESIS Y MEMORIA METODOLOGICA,Colombia,2005,Serie Formándonos En Prevención Integral. Módulo 1. Formando Formadores,958-97685-0-4, ,15 - 37,Fundación Universitaria Luis Amigó,GUILLERMO ALONSO CASTANO PEREZ
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Capítulos de libro publicados,Otro capítulo de libro publicado,EL ENFOQUE DE RIESGO EN LA PREVENCION DE PROBLEMATICAS SOCIALES,Colombia,2005,Serie Formandonos En Prevención Integral.Prevención Y Desarrollo Humano ,958-97524-9-7, ,121 - 133,Fundación Universitaria Luis Amigó,GUILLERMO ALONSO CASTANO PEREZ
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Capítulos de libro publicados,Otro capítulo de libro publicado,EL ENFOQUE PROPOSITIVO EN LA INTERVENCION DE PROBLEMATICAS SOCIALES. LOS FACTORES PROTECTORES,Colombia,2005,Serie Formandonos En Prevención Integral.Prevención Y Desarrollo Humano ,958-97524-9-7, ,135 - 158,Fundación Universitaria Luis Amigó,GUILLERMO ALONSO CASTANO PEREZ
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Capítulos de libro publicados,Otro capítulo de libro publicado,UN NUEVO PARADIGMA: EL ENFOQUE PROPOSITIVO EN LA INTERVENCION DE PROBLEMATICAS SOCIALES,Colombia,2005,Serie Formandonos En Prevención Integral.Prevención Y Desarrollo Humano ,958-97524-9-7, ,159 - 169,Fundación Universitaria Luis Amigó,GUILLERMO ALONSO CASTANO PEREZ
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Capítulos de libro publicados,Otro capítulo de libro publicado,La calidad de vida para la prevención integral,Colombia,2005,Serie Formandonos En Prevención Integral.Prevención Y Desarrollo Humano ,958-97524-9-7, ,43 - 57,Fundación Universitaria Luis Amigó,GUSTAVO ADOLFO CALDERON VALLEJO
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Capítulos de libro publicados,Otro capítulo de libro publicado,Modelo de minimización del riesgo de la Institución ALIVI,Colombia,2002,Compilación de lecturas Modelo Reducción y Minimización del Riesgo,0, 1,45 - 89,Fundación Universitaria Luis Amigó,MARIA ADELAIDA STORTI CALDERON
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Capítulos de libro publicados,Otro capítulo de libro publicado,Normatividad Legal sobre Reduccion de Daños en Colombia,Colombia,2001,Nuevas Estrategias De Atención En Drogodependencias: La Minimisación De Riesgos,958-96832-5-8, 500,227 - 241,Fondo Editorial Fundacion Universitaria Luis Amigo,GUILLERMO ALONSO CASTANO PEREZ
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Capítulos de libro publicados,Otro capítulo de libro publicado,El desarrollo de la Reduccion de Daños en America Latina.,Colombia,2001,Nuevas Estrategias De Atención En Drogodependencias: La Minimisación De Riesgos,958-96832-5-8, 500,242 - 247,Fondo Editorial Fundacion Universitaria Luis Amigo,"GUILLERMO ALONSO CASTANO PEREZ, GRACIELA TOUZE"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Capítulos de libro publicados,Otro capítulo de libro publicado,Los Riesgos de la Reduccion de Daños,Colombia,2001,Nuevas Estrategias De Atención En Drogodependencias: La Minimisación De Riesgos,958-96832-5-8, 500,286 - 297,Fondo Editorial Fundacion Universitaria Luis Amigo,GUILLERMO ALONSO CASTANO PEREZ
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Capítulos de libro publicados,Otro capítulo de libro publicado,Los servicios de atencion a los usuarios de drogas a partir del enfoque de Reduccion de Daños,Colombia,2001,Nuevas Estrategias De Atención En Drogodependencias: La Minimisación De Riesgos,958-96832-5-8, 500,182 - 190,Fondo Editorial Fundacion Universitaria Luis Amigo,GUILLERMO ALONSO CASTANO PEREZ
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Capítulos de libro publicados,Otro capítulo de libro publicado,Las Estrategias de Reduccion de daño en el tratamiento de Drogodependientes dificiles.,Colombia,2001,Nuevas Estrategias De Atención En Drogodependencias: La Minimisación De Riesgos,958-96832-5-8, 500,191 - 199,Fondo Editorial Fundacion Universitaria Luis Amigo,GUILLERMO ALONSO CASTANO PEREZ
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Capítulos de libro publicados,Otro capítulo de libro publicado,La Reduccion de Daños una respuesta a problematicas sociales y publicas en las grandes ciudades. Declaracion de la ciudad de Medellin,Colombia,2001,Nuevas Estrategias De Atención En Drogodependencias: La Minimisación De Riesgos,958-96832-5-8, 500,200 - 208,Fondo Editorial Fundacion Universitaria Luis Amigo,GUILLERMO ALONSO CASTANO PEREZ
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Capítulos de libro publicados,Otro capítulo de libro publicado,Consumo de Inhalantes. Controles sociales en la calle. estrategias empiricas de Reduccion de Daños,Colombia,2001,Nuevas Estrategias De Atención En Drogodependencias: La Minimisación De Riesgos,958-96832-5-8, 500,178 - 181,Fondo Editorial Fundacion Universitaria Luis Amigo,GUILLERMO ALONSO CASTANO PEREZ
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Capítulos de libro publicados,Otro capítulo de libro publicado,Reduccion de Daños Breve Historia,Colombia,2001,Nuevas Estrategias De Atención En Drogodependencias: La Minimisación De Riesgos,958-96832-5-8, 500,19 - 23,Fondo Editorial Fundacion Universitaria Luis Amigo,GUILLERMO ALONSO CASTANO PEREZ
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Capítulos de libro publicados,Otro capítulo de libro publicado,Uso de sustancias psicoactivas por via endovenosa y SIDA en Colombia,Colombia,2001,Nuevas Estrategias De Atención En Drogodependencias: La Minimisación De Riesgos,958-96832-5-8, 500,94 - 97,Fondo Editorial Fundacion Universitaria Luis Amigo,GUILLERMO ALONSO CASTANO PEREZ
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Capítulos de libro publicados,Otro capítulo de libro publicado,Estrategias de Reduccion de Daño en el contexto Colombiano. Estrategias de actuacion.,Colombia,2001,Nuevas Estrategias De Atención En Drogodependencias: La Minimisación De Riesgos,958-96832-5-8, 500,98 - 110,Fondo Editorial Fundacion Universitaria Luis Amigo,GUILLERMO ALONSO CASTANO PEREZ
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Capítulos de libro publicados,Otro capítulo de libro publicado,Consumo de Heroina en Colombia,Colombia,2001,Nuevas Estrategias De Atención En Drogodependencias: La Minimisación De Riesgos,958-96832-5-8, 500,87 - 93,Fondo Editorial Fundacion Universitaria Luis Amigo,GUILLERMO ALONSO CASTANO PEREZ
AYELEN,Capítulos de libro publicados,Capítulo de libro,Aportes del caso de estudio para la identificación y abordaje de los factores de deserción en la metodología a distancia y virtual,Colombia,2020,el caso de dos instituciones de educación superior (IES) en Colombia,978-958-763-438-9, ,131 - 138,Editorial Minuto de Dios UNIMINUTO,"GERMAN ANDRES TORRES ESCOBAR, LAURA STELLA PARRA ESPITIA, ADRIANA BELTRAN ARIZA, CARLOS JAIRO CABANZO CARRENO, HEDRY OROZCO LARA"
AYELEN,Capítulos de libro publicados,Capítulo de libro,Aportes del caso de estudio para la identificación y abordaje de los factores de deserción en la metodología distancia y virtual,Colombia,2020,el caso de dos instituciones de educación superior (IES) Colombia,978-958-763-438-9, ,131 - 135,uniminuto,"LAURA STELLA PARRA ESPITIA, CARLOS JAIRO CABANZO CARRENO, GERMAN ANDRES TORRES ESCOBAR"
AYELEN,Capítulos de libro publicados,Capítulo de libro,Educación Virtual y deserción: discursos y lugares comunes,Colombia,2020,el caso de dos instituciones de educación superior (IES) Colombia,978-958-763-438-9, ,31 - 50,uniminuto,"CARLOS JAIRO CABANZO CARRENO, LAURA STELLA PARRA ESPITIA"
AYELEN,Capítulos de libro publicados,Capítulo de libro,Estrategias para el reconocimiento de los factores que inciden en la deserción,Colombia,2020,el caso de dos instituciones de educación superior (IES) en Colombia,978-958-763-438-9, ,75 - 100,Editorial Minuto de Dios UNIMINUTO,"GERMAN ANDRES TORRES ESCOBAR, HEDRY OROZCO LARA, ADRIANA BELTRAN ARIZA"
AYELEN,Capítulos de libro publicados,Capítulo de libro,Análisis de variables asociadas a la deserción académica,Colombia,2020,el caso de dos instituciones de educación superior (IES) en Colombia,978-958-763-438-9, ,101 - 130,Editorial Minuto de Dios UNIMINUTO,"CARLOS JAIRO CABANZO CARRENO, GERMAN ANDRES TORRES ESCOBAR"
AYELEN,Capítulos de libro publicados,Capítulo de libro,Tejidos Interculturales desde el Buen Vivir,Colombia,2019,Comprensiones de lo social en clave del desarrollo humano,978-958-8859-48-4, ,98 - 130,Corporación Universidad Libre-Pereira,"WILMAN ANTONIO RODRIGUEZ CASTELLANOS, SANDRA LUZ CASTRO LESMES, PAULA ANDREA QUILINDO SALAZAR"
AYELEN,Capítulos de libro publicados,Capítulo de libro,Estres y aformtamiento en migrantes,Colombia,2018,sociedad e innovación),2463-0004, ,219 - 225,Fondo Editorial Universisdad Católica Luis Amigó,"PEDRO ALVAREZ MASSI, BENILDA LAYNE BERNAL"
AYELEN,Capítulos de libro publicados,Capítulo de libro,"Habitantes de calle: Miradas antropológicas, educativas y psicosociales para la política de intervención social en Bogotá",Colombia,2018,Educativas y Psicosociales para la política de Intervención social en Bopgotá,2463-0004, ,226 - 231,Fondo Editorial Universidad Católica Luis Amigó,SANDRA LUZ CASTRO LESMES
AYELEN,Capítulos de libro publicados,Otro capítulo de libro publicado,Estrés y afrontamiento en migrantes,Colombia,2018,XXI Encuentro Nacional de Investigación (Universidad Católica Luis Amigó,2463-0004, ,219 - 224,Fondo editorial Universidad Católica Luis Amigó,"PEDRO ALVAREZ MASSI, BENILDA LAYNE BERNAL"
AYELEN,Capítulos de libro publicados,Otro capítulo de libro publicado,Atención al ciberbullying en el contexto Universitario,Colombia,2017,XX Encuentro Nacional de Investigación (Universidad Católica Luis Amigó 2017,2463-0004, ,90 - 94,Fondo Editorial Universidad Católica Luis Amigó,"PEDRO ALVAREZ MASSI, BENILDA LAYNE BERNAL"
AYELEN,Capítulos de libro publicados,Otro capítulo de libro publicado,Filosofía para Niños y la construcción de Sentidos,Colombia,2008,Seminario Filosofía Para Niños En La Perspectiva De La Educación Social,978-958-8165-99-8, ,001 - ,Corporación Universitaria Minuto de Dios,EDILBERTO PEREGRINO LASSO CARDENAS
AYELEN,Capítulos de libro publicados,Otro capítulo de libro publicado,del conocimiento simple al conocimiento complejo en educación,Colombia,2006,De Los Maestros Su Semilla,958-33-8897-1, ,5 - 85,Digiprint Editores,MARITZA LAYNE BERNAL
CALIDAD DE VIDA,Capítulos de libro publicados,Capítulo de libro,Mujeres líderes de Derechos Humanos en el contexto del conflicto armado en Alto Sinú,Venezuela,2020,Administrativas y Contables Volumen VI,978-980-18-1561-7, ,232 - 249,Ediluz,"HUBER YECID CASTRO ESCOBAR, MARIA ALEJANDRA TABORDA CARO, LIGIA HERRERA CRIADO"
CALIDAD DE VIDA,Capítulos de libro publicados,Capítulo de libro,Movimientos Sociales y Participación Política en Venezuela de los siglos XX y XXI,Venezuela,2020,Administrativas y Contables  Volumen VI,978-980-18-1561-7, ,191 - 208,Ediluz,"ESTELIO JOSE ANGULO, ENADIS VARGAS HERNANDEZ, MIREYA JOSEFINA SALAS DE GONZALEZ, MIGUEL EDUARDO NEGRON FUENMAYOR"
CALIDAD DE VIDA,Capítulos de libro publicados,Capítulo de libro,Políticas públicas de conciencia ambiental: pilar estratégico de Montería como ciudad sostenible,Colombia,2020,Ciudades sostenibles. Un enfoque diferenciado del desarrollo de las ciudades,9789585547926, ,58 - 76,Editorial CECAR,"ESTELIO JOSE ANGULO, MIREYA JOSEFINA SALAS DE GONZALEZ, MIGUEL EDUARDO NEGRON FUENMAYOR"
CALIDAD DE VIDA,Capítulos de libro publicados,Capítulo de libro,"Los retos que enfrenta la democracia en América latina: populismo, corrupción y COVID-19",Colombia,2020,Política y gestión Pública en Suramérica,978-958-5493-59-9, ,119 - 134,Editorial,                
CALIDAD DE VIDA,Capítulos de libro publicados,Capítulo de libro,Análisis jurídico de la Democracia Representativa en Colombia,Colombia,2020,SOCIEDAD Y DERECHO EN AMERICA LATINA,978-958-5493-57-5, ,33 - 49,UNIVERSIDAD POPULAR DEL CESAR,CARLOS RODRIGUEZ SANTOS
CALIDAD DE VIDA,Capítulos de libro publicados,Capítulo de libro,Relaciones psicosociales para construir ambientes familiares óptimos en medio de la pandemia por Covid-19,Venezuela,2020, Administrativas y Contables Volumen VI,978-980-18-1561-7, ,270 - 283,Luz,PAULJAVIER BEDOYA PASTRANA
CALIDAD DE VIDA,Capítulos de libro publicados,Capítulo de libro,Pensamiento de Nelson Mandela y los Procesos de Paz en la política contemporánea,Venezuela,2018,Formación educativa en el Contexto Social y Cultural,978-980-427-112-0, ,53 - 73,Fondo Editoria UNNERMB,"ESTELIO JOSE ANGULO, MIREYA JOSEFINA SALAS DE GONZALEZ, GIOVANNI ANTONIO GOTOPO ACOSTA"
CALIDAD DE VIDA,Capítulos de libro publicados,Capítulo de libro,Tecnologías de información y comunicación como medio de participación ciudadana inclusión y transformación social,Colombia,2018,bienestar y felicidad social.,978-958-8921-68-6, ,119 - 138,"Editorial Universitaria de la Costa, EDUCOSTA, S.A.S.","ESTELIO JOSE ANGULO, MARILU TIBISAY ACURERO LUZARDO, GERTRUDIS YACKELINE ZIRITT TREJO"
CALIDAD DE VIDA,Capítulos de libro publicados,Capítulo de libro,GERENCIA PARTICIPATIVA Y RESPONSABILIDAD SOCIAL EMPRESARIAL EN ORGANIZACIONES PETROLERAS,Venezuela,2018,Administrativas y Contables II,978-980-427-086-4, ,43 - 67,Universidad Nacional Experimental Rafael María Baralt - Fondo Editorial UNERMB,"MIREYA JOSEFINA SALAS DE GONZALEZ, ESTELIO JOSE ANGULO, MARILU TIBISAY ACURERO LUZARDO"
CALIDAD DE VIDA,Capítulos de libro publicados,Otro capítulo de libro publicado,"Tomo VI: Cultura, Innovación y Política Educativa",Colombia,2017,Innovación y Política Educativa,978-1-945570-24-7, ,269 - 288,Editorial Redipe,VICTOR TERAN REALES
CALIDAD DE VIDA,Capítulos de libro publicados,Otro capítulo de libro publicado,REPENSAR LAS CIENCIAS SOCIALES EN LATINOAMERICA Y EL CARIBE DESDE UNA PERSPECTIVA TRANSDISCIPLINARIA,Colombia,2017,EL CARIBE Y COLOMBIA AL DESARROLLO SOCIA,-978-958-8557-38-0, ,221 - 251,Editorial CECAR,ESTELIO JOSE ANGULO
CALIDAD DE VIDA,Capítulos de libro publicados,Capítulo de libro,MOVIMIENTOS SOCIALES Y PARTICIPACIÓN CIUDADANA: LAS TECNOLOGÍAS DE INFORMACIÓN Y COMUNICACIÓN HERRAMIENTAS DE INCLUSIÓN EN LATINOAMERICA Y EL CARIBE,Venezuela,2017,CASO COLOMBIA,978-980-427-017-8, ,59 - 80,Universidad Nacional Experimental Rafael María Baralt - Fondo Editorial UNERMB,"ESTELIO JOSE ANGULO, MARILU TIBISAY ACURERO LUZARDO, MIREYA JOSEFINA SALAS DE GONZALEZ"
CALIDAD DE VIDA,Capítulos de libro publicados,Capítulo de libro,CONSTRUCCIÓN DE IDENTIDADES PARA LA PARTICIPACIÓN SOCIAL DEL DOCENTE,Venezuela,2016,ADMINISTRATIVAS Y CONTABLES,978-980-427-011-6-, ,442 - 453,Fondo Editorial UNERMB,"ESTELIO JOSE ANGULO, MIREYA JOSEFINA SALAS DE GONZALEZ"
CALIDAD DE VIDA,Capítulos de libro publicados,Capítulo de libro,ESTRATEGIAS GERENCIALES Y EQUIPOS DE TRABAJO DE ALTO DESEMPEÑO PARA EL DESARROLLO ENDÓGENO EN INSTITUCIONES EDUCATIVAS,Venezuela,2016,Universidad Y Sociedad. Mirando La Educación Universitaria Desde El Desarrollo Endógeno,9789806792449, ,242 - 261,FONDO EDITORIAL DE LA UNIVERSIDAD NACIONAL EXPERIMENTAL RAFAEL MARIA BARALT,"MIREYA JOSEFINA SALAS DE GONZALEZ, ESTELIO JOSE ANGULO, MARILU TIBISAY ACURERO LUZARDO"
CALIDAD DE VIDA,Capítulos de libro publicados,Capítulo de libro,EFECTIVIDAD DEL CURSO ESTRATEGIAS HOLÍSTICAS PARA EL APRENDIZAJE EN EDUCACIÓN,Venezuela,2016,Ciencia y Tecnología. Un enfoque desde el ser y el hacer,978-980-6792-93-7-, ,231 - 256,Universidad Nacional Experimental Rafael María Baralt - Fondo Editorial UNERMB,"ESTELIO JOSE ANGULO, MIREYA JOSEFINA SALAS DE GONZALEZ"
CALIDAD DE VIDA,Capítulos de libro publicados,Capítulo de libro,"FESTIVAL DE LA DIVERSIDAD BIOCULTURAL, UNA OPORTUNIDAD PARA VISIBILIZAR LOS PROCESOS DE CONSTRUCCIÓN AMBIENTAL REGIONAL",Colombia,2015,Cordoba Biocultural,978-958-98262-1-8, ,11 - 14,EDITORIAL SIGLO XXI ,VICTOR TERAN REALES
CALIDAD DE VIDA,Capítulos de libro publicados,Capítulo de libro,"LA FORMACIÓN DE DINAMIZADORES EN EDUCACIÓN AMBIENTAL , UNA OPORTUNIDAD PARA TRANSFORMAR LA VIDA COTIDIANA DE LAS INSTITUCIONES EDUCATIVAS",Colombia,2014,COLECCION PEDAGOGIA IBEROAMERICANA.DIdáctica y contextos educativos  ,9789585849259, ,137 - 164,REDIPE,VICTOR TERAN REALES
CALIDAD DE VIDA,Capítulos de libro publicados,Otro capítulo de libro publicado,"LA FORMACIÓN DE DINAMIZADORES EN EDUCACIÓN AMBIENTAL, UNA OPORTUNIDAD PARA TRANSFORMAR LA VIDA COTIDIANA DE LAS INSTITUCIONES EDUCATIVAS¿,",España,2014,Coleccion Iberoamericana  De Pedagogia,9789585849259, ,137 - 165,REDIPE,VICTOR TERAN REALES
CALIDAD DE VIDA,Capítulos de libro publicados,Otro capítulo de libro publicado,"LA FORMACIÓN DE DINAMIZADORES EN EDUCACIÓN AMBIENTAL, UNA OPORTUNIDAD PARA TRANSFORMAR LA VIDA COTIDIANA DE LAS INSTITUCIONES EDUCATIVAS¿,",España,2014,Coleccion Iberoamericana  De Pedagogia,9789585849259, ,137 - 165,REDIPE,"VICTOR TERAN REALES, MERI CARDONA OVIEDO"
CALIDAD DE VIDA,Capítulos de libro publicados,Capítulo de libro,perfil psicosocial comparativo de personas condenadas por delitos contra la seguridad publica,Colombia,2011,Psicologia Forense: Estudio De La Mente Criminal.,978-958-741-051-8, ,95 - 157,Ediciones Uninorte,GUSTAVO ANTONIO BRUNAL GONZALEZ
CALIDAD DE VIDA,Capítulos de libro publicados,Otro capítulo de libro publicado,FUNDAMENTOS EPISTEMOLÒGICOS Y PEDAGÒGICOS DEL PROYECTO CAEC,Colombia,2008,Fundamnetos Conceptuales Y Metodològicos Para La Construcciòn De Cultura Ambiental,978-958-44-0272-1, ,1 - 16,Ed Panamericana Formas E Impresos Sa Bogota,VICTOR TERAN REALES
CALIDAD DE VIDA,Capítulos de libro publicados,Otro capítulo de libro publicado,Formación de los partidos políticos en Colombia,Colombia,2008,Historia de las ideas politicasen Colombia,9580-6120, ,1 - 421,,ALBERTO GOMEZ MARTINEZ
CALIDAD DE VIDA,Capítulos de libro publicados,Otro capítulo de libro publicado,UN ESPACIO PARA REFLEXIONAR ACERCA DEL PROCESO DE EDUCACION AMBIENTAL EN EL DPTO.DE CORDOBA,Colombia,2007,Apoyo Al Fortalecimiento De La Educacion Ambiental,958-97393-0-X, ,50 - 54,MEN,VICTOR TERAN REALES
CALIDAD DE VIDA,Capítulos de libro publicados,Otro capítulo de libro publicado,Dínámicas de las familias desplazadas por la violencia en Montería y salud mental,Colombia,2006,UN CAMINO HACIA LA PAZ. PAZ Y SALUD MENTALEN COLOMBIA,0, 1,245 - 259,Kimpres,VICTOR TERAN REALES
CALIDAD DE VIDA,Capítulos de libro publicados,Otro capítulo de libro publicado,RESUMEN DE INVESTIGACION PAUTAS DE CRIANZAS DE LAS FAMILIAS CORDOBESAS,Colombia,2000,PAUTAS Y PRACTICAS DE CRIANZAS EN FAMILIAS COLOMBIANAS,0, 1,147 - 151,Punto EXE Editores,"VICTOR TERAN REALES, OSCAR ADOLFO, OSCAR BARRIOS CARABALLO"
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Capítulos de libro publicados,Capítulo de libro,Psicología Ambiental: ¿qué es y para qué?,Colombia,2022,diálogos y perspectivas académicas,978-958-53940-2-5, ,18 - 59,ASCOFAPSI ¿ COLPSIC,"OSCAR EDUARDO NAVARRO CARRASCAL, WILLIAN SIERRA BARON, KATY LUZ MILLAN OTERO"
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Capítulos de libro publicados,Capítulo de libro,Tendencias de investigación en Psicología Ambiental. Una revisión sistemática cualitativa (2009?2020),Colombia,2022,diálogos y perspectivas de investigación,978-958-53940-4-9, ,64 - 85,ASCOFAPSI ¿ COLPSIC,"WILLIAN SIERRA BARON, KATY LUZ MILLAN OTERO"
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Capítulos de libro publicados,Capítulo de libro,Las relaciones en el marco de la sobrevivencia de las víctimas del conflicto armado colombiano,Colombia,2021,una aproximación para el encuentro con el otro.,978-958-8943-68-8, ,91 - 109,Universidad Católica Luis Amigó,PAULA VANESSA SANCHEZ AGUDELO
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Capítulos de libro publicados,Capítulo de libro,"Jóvenes, violencia y paz. Contexto e intencionalidad",Colombia,2020,violencia y paz : experiencias investigativas en barriadas populares de Cali y Medellín,978-958-5473-98-0, ,19 - 47,Sello Editorial Universidad de Medellín,"ANYERSON STITHS GOMEZ TABARES, ELIZABETH GOMEZ ETAYO, CESAR NUNEZ, JUAN DAVID GIRALDO ROJAS, ANGELA PATRICIA ARANGO VASQUEZ"
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Capítulos de libro publicados,Capítulo de libro,Desafíos y oportunidades para la gestión del Talento Humano en Mipymes. Un estudio local,Colombia,2020,Tendencias interdisciplinares en administración: Propuestas alternativas de investigación.,978-958-53186-3-2, ,12 - 62,Editorial Escuela Pomponazzi,"LAURA ELENA ZAPATA JIMENEZ, NICOLASA MARIA DURAN PALACIO"
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Capítulos de libro publicados,Capítulo de libro,"Justicia restaurativa, cultura de paz y competencias psicosociales",Colombia,2020,violencia y paz : experiencias investigativas en barriadas populares de Cali y Medellín,978-958-5473-98-0, ,77 - 123,Sello Editorial Universidad de Medellín,"ANYERSON STITHS GOMEZ TABARES, CESAR NUNEZ, ANGELA PATRICIA ARANGO VASQUEZ, JUAN DAVID GIRALDO ROJAS, ELIZABETH GOMEZ ETAYO"
